Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00     4144     0.00     0.00  DualityEngine::System_UserInput::handleControlKeys(unsigned char const*)
  0.00      0.03     0.00     2996     0.00     0.00  DualityEngine::ComponentBank::updateActiveCamera()
  0.00      0.03     0.00     2995     0.00     0.00  DualityEngine::System_Render_Models::tick()
  0.00      0.03     0.00     2994     0.00     0.00  DualityEngine::System_Render_Background::tick()
  0.00      0.03     0.00     2992     0.00     0.00  DualityEngine::System_Render_Master::tick()
  0.00      0.03     0.00     2992     0.00     0.00  DualityEngine::System_Render_Console::tick()
  0.00      0.03     0.00     2971     0.00     0.00  DualityEngine::CameraFree::updateView(glm::detail::tmat4x4<float, (glm::precision)0>, glm::detail::tmat4x4<float, (glm::precision)0>)
  0.00      0.03     0.00     2496     0.00     0.00  DualityEngine::System_Scripting::tick()
  0.00      0.03     0.00      783     0.00     0.00  stbi__get16be(stbi__context*)
  0.00      0.03     0.00      277     0.00     0.00  stbi__stdio_read(void*, char*, int)
  0.00      0.03     0.00      133     0.00     0.00  stbi__getn(stbi__context*, unsigned char*, int)
  0.00      0.03     0.00       99     0.00     0.00  void std::vector<std::string, std::allocator<std::string> >::_M_emplace_back_aux<std::string const&>(std::string const&)
  0.00      0.03     0.00       70     0.00     0.00  stbi__zbuild_huffman(stbi__zhuffman*, unsigned char*, int)
  0.00      0.03     0.00       70     0.00     0.00  DualityEngine::ComponentBank::getComponents(unsigned long const&)
  0.00      0.03     0.00       64     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, std::string const>, std::allocator<std::pair<std::string const, std::string const> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::string const, std::string const>, true>*)
  0.00      0.03     0.00       63     0.00     0.00  DualityEngine::System::discoverID(unsigned long const&)
  0.00      0.03     0.00       53     0.00     0.00  DualityEngine::System_Scripting::prsDbl(std::string const&)
  0.00      0.03     0.00       36     0.00     0.00  stbi__fill_bits(stbi__zbuf*)
  0.00      0.03     0.00       33     0.00     0.00  stbi__compute_huffman_codes(stbi__zbuf*)
  0.00      0.03     0.00       32     0.00     0.00  DualityEngine::System::getName()
  0.00      0.03     0.00       23     0.00     0.00  DualityEngine::System_Scripting::parseCommand(std::string const&)
  0.00      0.03     0.00       21     0.00     0.00  void DualityEngine::DelegateSpawner<DualityEngine::Game, void, unsigned long const&>::MethodCaller<&DualityEngine::Game::systems_discover>(void*, unsigned long const&)
  0.00      0.03     0.00       21     0.00     0.00  DualityEngine::Game::systems_discover(unsigned long const&)
  0.00      0.03     0.00       21     0.00     0.00  DualityEngine::Console::output(char const*)
  0.00      0.03     0.00       20     0.00     0.00  std::__detail::_Map_base<std::string, std::pair<std::string const, unsigned long>, std::allocator<std::pair<std::string const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::at(std::string const&)
  0.00      0.03     0.00       18     0.00     0.00  DualityEngine::ComponentBank::tryAddFlagToSoul(unsigned long const&, unsigned long const&)
  0.00      0.03     0.00       18     0.00     0.00  DualityEngine::System_Scripting::parseAddCommand(std::vector<std::string, std::allocator<std::string> > const&)
  0.00      0.03     0.00       18     0.00     0.00  DualityEngine::System_Scripting::prsID(std::string const&)
  0.00      0.03     0.00       18     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, std::string const>, std::allocator<std::pair<std::string const, std::string const> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::count(std::string const&) const
  0.00      0.03     0.00       18     0.00     0.00  std::__detail::_Map_base<std::string, std::pair<std::string const, std::pair<std::string const, int const> >, std::allocator<std::pair<std::string const, std::pair<std::string const, int const> > >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::string const&)
  0.00      0.03     0.00       16     0.00     0.00  void DualityEngine::DelegateSpawner<DualityEngine::Console, void, std::string const&>::MethodCaller<&DualityEngine::Console::outputStr>(void*, std::string const&)
  0.00      0.03     0.00       16     0.00     0.00  DualityEngine::Console::outputStr(std::string const&)
  0.00      0.03     0.00       16     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, std::pair<std::string const, int const> >, std::allocator<std::pair<std::string const, std::pair<std::string const, int const> > >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::string const, std::pair<std::string const, int const> >, true>*)
  0.00      0.03     0.00       12     0.00     0.00  std::string __gnu_cxx::__to_xstring<std::string, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...) [clone .constprop.16]
  0.00      0.03     0.00        9     0.00     0.00  DualityEngine::SystemEngine::addSystem(DualityEngine::System*)
  0.00      0.03     0.00        9     0.00     0.00  DualityEngine::System::quit()
  0.00      0.03     0.00        9     0.00     0.00  DualityEngine::System::System(DualityEngine::ComponentBank*, std::string, int)
  0.00      0.03     0.00        9     0.00     0.00  DualityEngine::System::~System()
  0.00      0.03     0.00        8     0.00     0.00  DualityEngine::System::pause()
  0.00      0.03     0.00        8     0.00     0.00  void std::vector<unsigned long, std::allocator<unsigned long> >::_M_emplace_back_aux<unsigned long const&>(unsigned long const&)
  0.00      0.03     0.00        7     0.00     0.00  void std::vector<DualityEngine::System*, std::allocator<DualityEngine::System*> >::_M_emplace_back_aux<DualityEngine::System* const&>(DualityEngine::System* const&)
  0.00      0.03     0.00        6     0.00     0.00  stbi__get8(stbi__context*)
  0.00      0.03     0.00        6     0.00     0.00  DualityEngine::System_Scripting::prsFlt(std::string const&)
  0.00      0.03     0.00        5     0.00     0.00  void DualityEngine::DelegateSpawner<DualityEngine::Console, void, char const*>::MethodCaller<&DualityEngine::Console::output>(void*, char const*)
  0.00      0.03     0.00        4     0.00     0.00  stbi__create_png_image(stbi__png*, unsigned char*, unsigned int, int, int, int, int)
  0.00      0.03     0.00        4     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, std::string const>, std::allocator<std::pair<std::string const, std::string const> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::clear()
  0.00      0.03     0.00        4     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, std::string const>, std::allocator<std::pair<std::string const, std::string const> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_Hashtable<std::pair<std::string const, std::string const> const*>(std::pair<std::string const, std::string const> const*, std::pair<std::string const, std::string const> const*, unsigned long, std::hash<std::string> const&, std::__detail::_Mod_range_hashing const&, std::__detail::_Default_ranged_hash const&, std::equal_to<std::string> const&, std::__detail::_Select1st const&, std::allocator<std::pair<std::string const, std::string const> > const&) [clone .constprop.138]
  0.00      0.03     0.00        4     0.00     0.00  void std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_emplace_back_aux<std::vector<unsigned long, std::allocator<unsigned long> > >(std::vector<unsigned long, std::allocator<unsigned long> >&&)
  0.00      0.03     0.00        4     0.00     0.00  void std::vector<unsigned long, std::allocator<unsigned long> >::_M_emplace_back_aux<unsigned long>(unsigned long&&)
  0.00      0.03     0.00        3     0.00     0.00  stbi__skip(stbi__context*, int)
  0.00      0.03     0.00        3     0.00     0.00  stbi__stdio_skip(void*, int)
  0.00      0.03     0.00        3     0.00     0.00  stbi__parse_png_file(stbi__png*, int, int)
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::SystemEngine::engage()
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::SystemEngine::~SystemEngine()
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::ComponentBank::addPosition(unsigned long const&, double const&, double const&, double const&)
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::ComponentBank::createEntity(char const*)
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::ComponentBank::addOrientation(unsigned long const&, double const&, double const&, double const&)
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::ComponentBank::addAngularVeloc(unsigned long const&, double const&, double const&, double const&)
  0.00      0.03     0.00        3     0.00     0.00  bool DualityEngine::ComponentBank::tryAddComponent<DualityEngine::Orientation, double, double, double>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::Orientation>&, double const&, double const&, double const&)
  0.00      0.03     0.00        3     0.00     0.00  bool DualityEngine::ComponentBank::tryAddComponent<DualityEngine::AngularVelocity, double, double, double>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::AngularVelocity>&, double const&, double const&, double const&)
  0.00      0.03     0.00        3     0.00     0.00  bool DualityEngine::ComponentBank::tryAddComponent<DualityEngine::Soul, char const*, DualityEngine::DUA_componentFlags, int>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::Soul>&, char const* const&, DualityEngine::DUA_componentFlags const&, int const&)
  0.00      0.03     0.00        3     0.00     0.00  bool DualityEngine::ComponentBank::tryAddComponent<DualityEngine::Model, char const*>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::Model>&, char const* const&)
  0.00      0.03     0.00        3     0.00     0.00  bool DualityEngine::ComponentBank::tryAddComponent<DualityEngine::Position, double, double, double>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::Position>&, double const&, double const&, double const&)
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::ComponentBank::addModel(unsigned long const&, char const*)
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::System_Scripting::parseAssignment(std::vector<std::string, std::allocator<std::string> > const&)
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::System::confirmPaused()
  0.00      0.03     0.00        3     0.00     0.00  DualityEngine::System::resume()
  0.00      0.03     0.00        3     0.00     0.00  std::string __gnu_cxx::__to_xstring<std::string, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      0.03     0.00        3     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, unsigned long>, std::allocator<std::pair<std::string const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::string const, unsigned long>, true>*)
  0.00      0.03     0.00        3     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::Orientation>, std::allocator<std::pair<unsigned long const, DualityEngine::Orientation> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::Orientation>, false>*)
  0.00      0.03     0.00        3     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::AngularVelocity>, std::allocator<std::pair<unsigned long const, DualityEngine::AngularVelocity> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::AngularVelocity>, false>*)
  0.00      0.03     0.00        3     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::Soul>, false>* std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::Soul>, std::allocator<std::pair<unsigned long const, DualityEngine::Soul> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<unsigned long const&>, std::tuple<char const* const&, DualityEngine::DUA_componentFlags const&, int const&> >(std::piecewise_construct_t const&, std::tuple<unsigned long const&>&&, std::tuple<char const* const&, DualityEngine::DUA_componentFlags const&, int const&>&&)
  0.00      0.03     0.00        3     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::Soul>, std::allocator<std::pair<unsigned long const, DualityEngine::Soul> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::Soul>, false>*)
  0.00      0.03     0.00        3     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::Model>, std::allocator<std::pair<unsigned long const, DualityEngine::Model> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::Model>, false>*)
  0.00      0.03     0.00        3     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::Position>, std::allocator<std::pair<unsigned long const, DualityEngine::Position> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::Position>, false>*)
  0.00      0.03     0.00        2     0.00     0.00  stbi__get32be(stbi__context*)
  0.00      0.03     0.00        2     0.00     0.00  stbi__load_flip(stbi__context*, int*, int*, int*, int)
  0.00      0.03     0.00        2     0.00     0.00  stbi__hdr_convert(float*, unsigned char*, int)
  0.00      0.03     0.00        2     0.00     0.00  DualityEngine::ComponentBank::addCameraFree(unsigned long const&, float, float, float, double, double, double, double, double, double, double, double, double)
  0.00      0.03     0.00        2     0.00     0.00  DualityEngine::ComponentBank::addLinearVeloc(unsigned long const&, double const&, double const&, double const&)
  0.00      0.03     0.00        2     0.00     0.00  DualityEngine::ComponentBank::addSpaceControl(unsigned long const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&)
  0.00      0.03     0.00        2     0.00     0.00  bool DualityEngine::ComponentBank::tryAddComponent<DualityEngine::LinearVelocity, double, double, double>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::LinearVelocity>&, double const&, double const&, double const&)
  0.00      0.03     0.00        2     0.00     0.00  DualityEngine::loadCubeMapSide(unsigned int, unsigned int, char const*, std::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.03     0.00        2     0.00     0.00  DualityEngine::System_Scripting::parseKeyword_all(std::vector<std::string, std::allocator<std::string> > const&)
  0.00      0.03     0.00        2     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::CameraFree>, false>* std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::CameraFree>, std::allocator<std::pair<unsigned long const, DualityEngine::CameraFree> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<unsigned long const&>, std::tuple<float const&, float const&, float const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&> >(std::piecewise_construct_t const&, std::tuple<unsigned long const&>&&, std::tuple<float const&, float const&, float const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&>&&)
  0.00      0.03     0.00        2     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::CameraFree>, std::allocator<std::pair<unsigned long const, DualityEngine::CameraFree> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::CameraFree>, false>*)
  0.00      0.03     0.00        2     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<unsigned long const, DualityEngine::SpaceControl>, false, false>, bool> std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::SpaceControl>, std::allocator<std::pair<unsigned long const, DualityEngine::SpaceControl> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace<std::piecewise_construct_t const&, std::tuple<unsigned long const&>, std::tuple<double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&> >(std::integral_constant<bool, true>, std::piecewise_construct_t const&, std::tuple<unsigned long const&>&&, std::tuple<double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&>&&)
  0.00      0.03     0.00        2     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::SpaceControl>, std::allocator<std::pair<unsigned long const, DualityEngine::SpaceControl> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::SpaceControl>, false>*)
  0.00      0.03     0.00        2     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, DualityEngine::LinearVelocity>, std::allocator<std::pair<unsigned long const, DualityEngine::LinearVelocity> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, DualityEngine::LinearVelocity>, false>*)
  0.00      0.03     0.00        2     0.00     0.00  std::_Deque_base<std::string, std::allocator<std::string> >::_M_initialize_map(unsigned long)
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine11loadShadersEPKcS1_RSt18basic_stringstreamIcSt11char_traitsIcESaIcEE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine12SystemEngineC2EPP10SDL_ThreadPKcPNS_8DelegateIFvS5_EIEEEPNS6_IFvvEIEEE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine13ComponentBank9createBoxEPKcRKdS4_S4_S4_S4_S4_S4_S4_S4_S4_S4_S4_
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine13ComponentBankC2EPNS_13BankDelegatesE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine15System_PhysMoveC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine16ShaderRepository18storeShaderProgramEPKcS2_S2_RSt18basic_stringstreamIcSt11char_traitsIcESaIcEE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine16System_ScriptingC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine16System_UserInputC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine17System_Control_SSC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine18System_PhysCollideC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine20System_Render_MasterC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine20System_Render_ModelsC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine21System_Render_ConsoleC2EPNS_13ComponentBankEPNS_7ConsoleE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine22System_Render_BiTcubesC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine24System_Render_BackgroundC2EPNS_13ComponentBankE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine4Game4MainEv
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine6SystemC2EPNS_13ComponentBankESsi
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine7ConsoleD2Ev
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEngine8Settings7Systems19systemsPauseTimeoutE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13DualityEnginemlEN3glm6detail5tvec3IfLNS0_9precisionE0EEEf
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      0.03     0.00        1     0.00     0.00  stbi__jpeg_test(stbi__context*)
  0.00      0.03     0.00        1     0.00     0.00  DualityEngine::CameraFree::CameraFree(float, float, float, double, double, double, double, double, double, double, double, double)
  0.00      0.03     0.00        1     0.00     0.00  DualityEngine::loadShaders(char const*, char const*, std::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.03     0.00        1     0.00     0.00  DualityEngine::ComponentBank::switchToCam(unsigned long const&)
  0.00      0.03     0.00        1     0.00     0.00  DualityEngine::CameraFree* DualityEngine::ComponentBank::getComponentPtr<DualityEngine::CameraFree>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::CameraFree>&)
  0.00      0.03     0.00        1     0.00     0.00  DualityEngine::SpaceControl* DualityEngine::ComponentBank::getComponentPtr<DualityEngine::SpaceControl>(unsigned long const&, char const*, DualityEngine::HashMap<unsigned long, DualityEngine::SpaceControl>&)
  0.00      0.03     0.00        1     0.00     0.00  DualityEngine::ComponentBank::switchToControl(unsigned long const&, DualityEngine::ControlTypes::type)
  0.00      0.03     0.00        1     0.00     0.00  DualityEngine::ComponentBank::focusSpaceControl(unsigned long const&)
